date,open,high,low,close,volume,amount,adj_factor
2024-01-02,49.888561,51.596849,49.475037,51.497941,2968092.00,150228780.21,1.00000000
2024-01-03,51.848594,51.922519,49.796594,50.399859,4775754.00,243524728.78,1.00000000
2024-01-04,50.165444,51.365451,49.919229,50.876742,1317239.00,66628209.80,1.00000000
2024-01-05,50.539539,51.250948,50.297789,51.194001,1776606.00,90288128.53,1.00000000
2024-01-08,51.203520,51.457285,50.961517,51.347229,1822689.00,93398935.99,1.00000000
2024-01-09,51.435888,52.496069,50.723942,52.179041,2681209.00,138641925.46,1.00000000
2024-01-10,52.308754,53.263019,48.909694,50.436068,2300251.00,117840441.28,1.00000000
2024-01-11,50.729285,52.223887,50.223239,52.098755,2030452.00,104200342.98,1.00000000
2024-01-12,52.282495,52.666708,51.348904,51.437225,2003078.00,104027518.45,1.00000000
2024-01-15,51.078582,52.271205,50.781105,51.080391,2374946.00,121841429.55,1.00000000
2024-01-16,51.151309,51.933064,49.558616,50.232056,2035387.00,103232306.88,1.00000000
2024-01-17,50.447518,51.154745,50.235118,50.852118,3000290.00,152031819.26,1.00000000
2024-01-18,51.176323,51.185906,48.161759,49.560809,2377085.00,118904642.45,1.00000000
2024-01-19,49.444492,49.691138,49.353257,49.499138,2320836.00,114874434.17,1.00000000
2024-01-22,49.510832,50.259751,48.196874,48.406790,2615189.00,128388942.38,1.00000000
2024-01-23,48.170620,48.296981,47.062512,47.329452,2497792.00,119181873.57,1.00000000
2024-01-24,47.455841,47.480069,45.827412,46.850127,2459086.00,115339401.66,1.00000000
2024-01-25,46.909777,47.795569,46.787683,47.201504,2736558.00,129093384.00,1.00000000
2024-01-26,47.031717,49.224801,46.206310,47.508732,3033508.00,144070061.46,1.00000000
2024-01-29,47.631514,49.118807,46.964203,48.761964,3349353.00,161167926.54,1.00000000
2024-01-30,48.530323,49.557537,47.008516,49.515908,3176211.00,154532419.73,1.00000000
2024-01-31,49.715381,50.115197,49.470999,49.847522,1995266.00,99338855.97,1.00000000
2024-02-01,49.870067,50.508791,48.980420,49.565290,1442540.00,71739161.24,1.00000000
