date,open,high,low,close,volume,amount,adj_factor
2024-01-02,100.188509,104.140844,99.879378,103.049947,999451.00,101758772.89,1.00000000
2024-01-03,102.868759,103.467858,102.371126,102.850031,1264780.00,130132510.32,1.00000000
2024-01-04,102.990677,103.130841,101.076855,101.223220,1128264.00,115201845.01,1.00000000
2024-01-05,101.343821,104.160320,100.087415,103.201857,868772.00,88787067.89,1.00000000
2024-01-08,102.771764,105.129437,101.957824,104.341502,1048173.00,108538452.26,1.00000000
2024-01-09,104.721061,104.833812,102.125527,102.587481,630415.00,65290171.46,1.00000000
2024-01-10,102.233941,105.930695,102.066979,104.943376,761110.00,78998459.60,1.00000000
2024-01-11,105.615631,106.073172,100.945987,101.633883,1244912.00,128932010.47,1.00000000
2024-01-12,101.199584,102.773423,100.197512,102.586425,1268126.00,128954764.19,1.00000000
2024-01-15,102.748189,103.228896,99.819608,100.482604,1551237.00,157558869.44,1.00000000
2024-01-16,100.209333,101.000472,99.495509,100.521119,1045029.00,104823314.55,1.00000000
2024-01-17,99.749069,102.616857,98.956031,101.882006,1064200.00,107272414.25,1.00000000
2024-01-18,102.128579,104.517123,101.273050,103.093183,1025541.00,105377397.83,1.00000000
2024-01-19,103.047204,105.074802,101.734224,104.557419,1356512.00,140539271.83,1.00000000
2024-01-22,104.816255,107.387215,103.713521,107.038545,835780.00,88374444.28,1.00000000
2024-01-23,107.661649,108.814714,105.543089,106.657771,1397812.00,149802541.67,1.00000000
2024-01-24,107.081978,108.520427,106.787271,108.450781,1226768.00,132135321.60,1.00000000
2024-01-25,108.532514,108.716651,107.941718,108.088663,811986.00,87954231.14,1.00000000
2024-01-26,108.466984,110.055811,104.104196,104.506528,1382106.00,147585949.95,1.00000000
2024-01-29,104.808354,105.267106,101.288735,102.992527,1769349.00,183285412.57,1.00000000
2024-01-30,103.342560,104.237430,102.032477,102.230036,888967.00,91528598.74,1.00000000
2024-01-31,102.342333,104.599259,102.260200,102.815287,1091275.00,112405984.59,1.00000000
2024-02-01,103.342719,104.385997,99.873585,101.447983,1169024.00,119547400.01,1.00000000
2024-02-02,101.605885,101.715689,98.897554,100.226037,1657209.00,166733937.46,1.00000000
2024-02-05,100.145615,100.665860,99.411574,99.927825,794038.00,79433750.02,1.00000000
2024-02-06,99.897114,101.427812,98.015719,98.871979,1353063.00,134701691.98,1.00000000
2024-02-07,98.907170,99.461135,94.593516,95.197579,1190389.00,115515170.07,1.00000000
2024-02-08,95.195185,98.049283,94.824974,96.984014,1030269.00,99177159.86,1.00000000
2024-02-09,97.014167,98.509509,96.578014,97.624263,1029944.00,100348976.49,1.00000000
2024-02-12,97.715509,98.146606,94.964916,94.982923,1450618.00,139915716.22,1.00000000
2024-02-13,94.613529,96.331421,94.311411,95.573135,1007421.00,95913908.09,1.00000000
2024-02-14,95.416122,97.384803,94.665855,97.006992,946185.00,90945829.02,1.00000000
2024-02-15,96.648434,96.894393,93.215556,93.530276,1091068.00,103730197.06,1.00000000
2024-02-16,93.823445,96.060751,93.350303,95.235022,1728783.00,163572918.82,1.00000000
2024-02-19,95.182020,97.740387,94.766762,97.049086,1592324.00,153156989.50,1.00000000
2024-02-20,96.628760,100.224508,95.876649,100.099034,1440149.00,141433055.17,1.00000000
2024-02-21,100.056499,100.332223,99.619259,99.852549,1112938.00,111254994.77,1.00000000
2024-02-22,100.349489,100.394688,96.883242,98.328669,909128.00,89993691.47,1.00000000
2024-02-23,98.669721,101.240530,98.533983,99.726082,1266742.00,126094765.73,1.00000000
2024-02-26,99.786635,101.122619,98.044986,99.472940,928783.00,92513098.21,1.00000000
2024-02-27,99.254795,100.784373,98.013310,99.480544,859857.00,85455387.96,1.00000000
2024-02-28,99.762332,100.578259,98.962605,99.194021,630752.00,62838229.17,1.00000000
2024-02-29,98.861568,99.122246,95.307351,96.231803,1338078.00,130303028.56,1.00000000
2024-03-01,96.197185,97.730481,94.063922,95.361395,1065264.00,102093032.90,1.00000000
2024-03-04,95.694120,95.876511,94.982966,95.211976,726568.00,69344662.17,1.00000000
2024-03-05,95.430184,97.154689,95.228674,96.447021,1256685.00,120723623.28,1.00000000
2024-03-06,96.440659,97.961921,94.798035,95.545395,1124952.00,108205198.29,1.00000000
2024-03-07,95.927863,97.347943,93.973022,94.683938,1601600.00,152925879.27,1.00000000
2024-03-08,95.166581,95.900993,95.051337,95.325712,1130664.00,107821426.20,1.00000000
2024-03-11,95.069804,95.428328,94.144240,95.364472,1051428.00,99887458.92,1.00000000
2024-03-12,94.567127,97.092183,93.596013,96.005342,723855.00,68994359.55,1.00000000
2024-03-13,96.042565,97.121043,95.389634,96.322613,1438592.00,138419831.28,1.00000000
2024-03-14,96.269291,97.741918,96.245856,97.650171,1419159.00,137625511.40,1.00000000
2024-03-15,97.230858,98.035880,96.396617,97.547916,1214253.00,118150238.60,1.00000000
2024-03-18,97.681544,100.755353,96.657172,99.741388,1234130.00,121819570.35,1.00000000
2024-03-19,99.955057,100.522595,96.457555,97.498903,1179429.00,116301756.96,1.00000000
2024-03-20,97.128910,97.550389,96.894696,97.428692,735549.00,71532634.33,1.00000000
2024-03-21,97.320994,98.866431,96.217536,97.840800,831003.00,81073849.43,1.00000000
2024-03-22,97.837182,99.079334,96.665904,98.272644,1290510.00,126423219.85,1.00000000
2024-03-25,98.075068,99.076497,96.867070,97.785426,867735.00,84995524.22,1.00000000
2024-03-26,97.490403,98.324930,95.396214,98.065708,938752.00,91358700.36,1.00000000
2024-03-27,97.925464,98.752899,97.433416,98.189823,1137714.00,111581756.02,1.00000000
2024-03-28,97.942387,98.584823,96.847476,97.876369,1925216.00,188310697.33,1.00000000
2024-03-29,98.140078,99.257498,97.861988,97.881621,1077134.00,105866434.05,1.00000000
2024-04-01,98.570536,99.665250,98.317908,98.739068,928118.00,91719582.09,1.00000000
2024-04-02,99.250756,100.381192,98.306459,100.102394,1010453.00,100550380.17,1.00000000
2024-04-03,100.218867,102.793719,99.569841,101.042371,924157.00,93253170.76,1.00000000
2024-04-04,100.384167,102.418660,99.985986,100.656594,1082287.00,109160930.17,1.00000000
2024-04-05,100.282557,103.488907,99.907122,103.281884,806866.00,82090641.66,1.00000000
2024-04-08,103.500451,103.784438,99.820477,101.129294,1196249.00,122087575.63,1.00000000
2024-04-09,100.994755,101.459304,98.017234,99.190524,758658.00,75801658.90,1.00000000
2024-04-10,99.054206,100.755358,97.860724,100.453762,589509.00,58674427.60,1.00000000
2024-04-11,99.798482,100.330585,99.521748,100.301088,709844.00,70975864.83,1.00000000
2024-04-12,100.403547,100.844221,99.047921,99.815449,1743560.00,174404443.82,1.00000000
2024-04-15,99.713696,100.119607,97.655228,98.464217,696294.00,68924880.62,1.00000000
2024-04-16,98.358899,98.866068,96.120407,97.893465,817310.00,79940854.02,1.00000000
2024-04-17,97.997651,98.875417,97.942544,98.850308,1669227.00,164279445.75,1.00000000
2024-04-18,99.262113,100.842502,98.115268,100.718665,1493004.00,148904212.33,1.00000000
2024-04-19,100.477848,100.625281,99.048175,99.049909,1593127.00,158994557.81,1.00000000
2024-04-22,99.064766,99.347589,98.646906,99.333377,1371803.00,135943152.99,1.00000000
2024-04-23,98.773925,99.919305,97.035008,98.621744,1174924.00,115832814.28,1.00000000
2024-04-24,98.902040,99.104421,97.737281,98.681496,1006888.00,99285509.42,1.00000000
2024-04-25,98.912736,99.205117,97.650250,98.524702,865296.00,85294996.83,1.00000000
2024-04-26,98.634169,100.336084,98.063182,99.799896,1677094.00,166381699.23,1.00000000
2024-04-29,99.436399,102.093465,98.476540,101.624263,1270350.00,127552879.45,1.00000000
2024-04-30,102.303662,102.848306,101.866530,101.876968,1183094.00,120940443.19,1.00000000
2024-05-01,102.252716,104.161490,100.814100,102.478539,796439.00,81576627.41,1.00000000
2024-05-02,103.253984,103.444052,100.872726,102.051504,1246154.00,127613106.31,1.00000000
2024-05-03,102.272862,102.646100,100.795433,101.259034,1046929.00,106518071.40,1.00000000
2024-05-06,101.060467,102.266587,100.719674,100.766249,737182.00,74605209.91,1.00000000
2024-05-07,101.215951,104.088251,100.901441,103.932156,1267792.00,129992355.17,1.00000000
2024-05-08,104.185547,104.614807,102.357153,102.391459,1209494.00,125046248.11,1.00000000
2024-05-09,102.291012,103.324149,101.613204,102.716197,1606342.00,164627791.87,1.00000000
2024-05-10,103.091058,103.970728,100.457685,100.712652,1935912.00,197575366.30,1.00000000
2024-05-13,100.358473,102.273513,100.034659,100.602139,1357977.00,136907433.11,1.00000000
2024-05-14,100.311831,100.726208,99.855696,100.296615,828544.00,83100964.52,1.00000000
2024-05-15,99.835171,100.229698,98.841792,99.242102,1112041.00,110689437.22,1.00000000
2024-05-16,99.310252,100.203370,97.130928,98.030059,1463573.00,144408775.04,1.00000000
2024-05-17,98.193478,98.275157,94.745590,95.851610,1206526.00,116751248.26,1.00000000
2024-05-20,95.742100,96.919608,94.001137,94.208249,914766.00,87101981.56,1.00000000
2024-05-21,94.303864,94.613876,91.845856,92.410514,1413031.00,131826646.62,1.00000000
2024-05-22,91.999625,92.861098,91.403328,91.922640,992719.00,91376480.85,1.00000000
2024-05-23,91.548988,95.521267,90.402248,94.545259,868362.00,80761522.13,1.00000000
2024-05-24,94.819251,95.423564,92.092371,93.920539,1024350.00,96354387.99,1.00000000
2024-05-27,94.448125,95.213110,93.648234,95.004751,794283.00,75122138.42,1.00000000
2024-05-28,94.749663,95.318608,93.352067,94.017745,1031335.00,97316276.13,1.00000000
2024-05-29,94.378368,94.402310,92.741129,94.075533,694660.00,65228112.11,1.00000000
2024-05-30,93.765303,95.261447,93.346912,94.753573,1900134.00,179148070.09,1.00000000
2024-05-31,94.556018,95.998501,93.460503,95.772383,1142399.00,108467187.87,1.00000000
2024-06-03,95.949354,96.271080,93.897757,94.354685,1465745.00,139419053.85,1.00000000
2024-06-04,94.190285,95.378556,93.172311,93.455294,1164782.00,109546711.99,1.00000000
2024-06-05,93.204721,93.571336,92.511998,92.667357,935536.00,86994419.65,1.00000000
2024-06-06,93.081798,93.808444,91.533431,93.050119,1167691.00,108441650.82,1.00000000
2024-06-07,93.364479,93.461831,90.511584,91.241821,973399.00,89693781.50,1.00000000
2024-06-10,91.594237,91.608459,89.992035,90.306224,1112006.00,101053810.96,1.00000000
2024-06-11,90.334168,90.591608,89.334119,89.340360,1451829.00,130519519.73,1.00000000
2024-06-12,89.096204,90.529240,88.568363,90.179323,1396946.00,125156977.53,1.00000000
2024-06-13,90.279338,90.961607,89.901334,90.574864,1201276.00,108630530.87,1.00000000
2024-06-14,91.237018,92.164549,88.555513,89.313426,888458.00,80243417.58,1.00000000
2024-06-17,89.143971,90.575125,88.180941,90.108029,1083359.00,96962815.06,1.00000000
2024-06-18,90.214508,91.534457,89.927431,90.006315,955135.00,86363953.97,1.00000000
2024-06-19,90.283598,90.976998,90.080346,90.958985,1325347.00,120043280.46,1.00000000
2024-06-20,91.122266,91.406777,90.445976,90.812415,876345.00,79700824.73,1.00000000
2024-06-21,90.944523,91.911164,89.954208,89.979208,997216.00,90444774.51,1.00000000
